county,date,labor.force,employed,unemployment,unemployment.rate
Alpine County,2002-08-01,460,420,40,8.7
Amador County,2002-08-01,16620,15680,940,5.7
Butte County,2002-08-01,97600,90700,6800,7
Calaveras County,2002-08-01,20310,19090,1230,6.1
Colusa County,2002-08-01,9720,8840,880,9.1
Contra Costa County,2002-08-01,511800,481100,30700,6
Del Norte County,2002-08-01,10350,9540,810,7.8
El Dorado County,2002-08-01,86600,82200,4400,5.1
Fresno County,2002-08-01,413600,374700,38900,9.4
Glenn County,2002-08-01,11560,10530,1040,9
Humboldt County,2002-08-01,61200,57300,3900,6.4
Imperial County,2002-08-01,57300,47300,10000,17.5
Inyo County,2002-08-01,9440,8950,490,5.2
Kern County,2002-08-01,311300,285200,26100,8.4
Kings County,2002-08-01,53500,48400,5100,9.5
Lake County,2002-08-01,27270,25310,1960,7.2
Lassen County,2002-08-01,12480,11670,810,6.5
Los Angeles County,2002-08-01,4745900,4417300,328500,6.9
Madera County,2002-08-01,57800,52900,5000,8.7
Marin County,2002-08-01,134300,127500,6800,5.1
Mariposa County,2002-08-01,9440,8960,480,5.1
Mendocino County,2002-08-01,47250,44620,2630,5.6
Merced County,2002-08-01,98400,90000,8400,8.5
Modoc County,2002-08-01,4000,3740,260,6.5
Mono County,2002-08-01,7600,7220,380,5
Monterey County,2002-08-01,211100,197800,13300,6.3
Napa County,2002-08-01,72900,69600,3300,4.5
Nevada County,2002-08-01,49500,46990,2500,5.1
Orange County,2002-08-01,1523600,1444000,79600,5.2
Placer County,2002-08-01,147300,140000,7300,5
Plumas County,2002-08-01,10760,10160,600,5.6
Riverside County,2002-08-01,747700,694200,53400,7.1
Sacramento County,2002-08-01,648000,610100,37900,5.8
San Benito County,2002-08-01,25600,23800,1700,6.6
San Bernardino County,2002-08-01,784700,735100,49500,6.3
San Diego County,2002-08-01,1444800,1366700,78100,5.4
San Francisco County,2002-08-01,447400,415600,31800,7.1
San Joaquin County,2002-08-01,276200,254400,21900,7.9
San Luis Obispo County,2002-08-01,127500,121200,6300,4.9
San Mateo County,2002-08-01,377300,355100,22200,5.9
Santa Barbara County,2002-08-01,205900,195500,10400,5.1
Santa Clara County,2002-08-01,884500,809400,75100,8.5
Santa Cruz County,2002-08-01,149100,140200,8900,6
Shasta County,2002-08-01,83300,77900,5400,6.5
Sierra County,2002-08-01,1770,1660,110,6.2
Siskiyou County,2002-08-01,19310,17870,1440,7.5
Solano County,2002-08-01,204100,192000,12000,5.9
Sonoma County,2002-08-01,256300,242900,13400,5.2
Stanislaus County,2002-08-01,228700,210500,18200,8
Sutter County,2002-08-01,40100,37000,3100,7.7
Tehama County,2002-08-01,26170,24440,1720,6.6
Trinity County,2002-08-01,5550,5090,460,8.3
Tulare County,2002-08-01,181400,163200,18200,10
Tuolumne County,2002-08-01,25530,23970,1560,6.1
Ventura County,2002-08-01,401900,376100,25800,6.4
Yolo County,2002-08-01,90400,85600,4800,5.3
Yuba County,2002-08-01,26300,24000,2300,8.7
Alameda County,2003-08-01,749200,696900,52200,7
Alpine County,2003-08-01,430,390,40,9.3
Amador County,2003-08-01,16530,15560,970,5.9
Butte County,2003-08-01,98200,91200,7000,7.1
Calaveras County,2003-08-01,20280,18930,1350,6.7
Colusa County,2003-08-01,9650,8740,910,9.4
Contra Costa County,2003-08-01,504800,473500,31300,6.2
Del Norte County,2003-08-01,10480,9630,860,8.2
El Dorado County,2003-08-01,87600,83000,4600,5.3
Fresno County,2003-08-01,410200,370700,39500,9.6
Glenn County,2003-08-01,11000,9940,1060,9.6
Humboldt County,2003-08-01,60500,56600,3900,6.4
Imperial County,2003-08-01,58700,47700,11000,18.7
Inyo County,2003-08-01,9180,8680,510,5.6
Kern County,2003-08-01,317900,289200,28700,9
Kings County,2003-08-01,54600,49400,5300,9.7
Lake County,2003-08-01,26830,24700,2130,7.9
Lassen County,2003-08-01,12550,11710,850,6.8
Los Angeles County,2003-08-01,4738000,4389400,348700,7.4
Madera County,2003-08-01,62200,57000,5200,8.4
Marin County,2003-08-01,130100,123400,6600,5.1
Mariposa County,2003-08-01,9330,8850,480,5.1
Mendocino County,2003-08-01,45990,43200,2790,6.1
Merced County,2003-08-01,100000,90900,9100,9.1
Modoc County,2003-08-01,4240,3940,300,7.1
Mono County,2003-08-01,7900,7490,410,5.2
Monterey County,2003-08-01,212700,199000,13700,6.4
Napa County,2003-08-01,71500,68100,3400,4.8
Nevada County,2003-08-01,48860,46270,2600,5.3
Orange County,2003-08-01,1546000,1470400,75600,4.9
Placer County,2003-08-01,153400,145600,7700,5
Plumas County,2003-08-01,10920,10150,760,7
Riverside County,2003-08-01,772500,717400,55100,7.1
Sacramento County,2003-08-01,656200,616800,39400,6
San Benito County,2003-08-01,24800,22800,1900,7.7
San Bernardino County,2003-08-01,795600,743700,51900,6.5
San Diego County,2003-08-01,1460800,1382700,78200,5.4
San Francisco County,2003-08-01,427000,397800,29100,6.8
San Joaquin County,2003-08-01,278800,255100,23700,8.5
San Luis Obispo County,2003-08-01,127300,121100,6100,4.8
San Mateo County,2003-08-01,365000,343300,21700,5.9
Santa Barbara County,2003-08-01,208200,198100,10100,4.9
Santa Clara County,2003-08-01,838500,769100,69400,8.3
Santa Cruz County,2003-08-01,144600,135500,9100,6.3
Shasta County,2003-08-01,82700,77000,5800,7
Sierra County,2003-08-01,1760,1650,110,6.2
Siskiyou County,2003-08-01,19470,17920,1540,7.9
Solano County,2003-08-01,205800,193000,12800,6.2
Sonoma County,2003-08-01,250700,236700,14000,5.6
Stanislaus County,2003-08-01,227900,209000,18900,8.3
Sutter County,2003-08-01,40400,37100,3300,8.2
Tehama County,2003-08-01,25790,23930,1870,7.3
Trinity County,2003-08-01,5550,5100,450,8.1
Tulare County,2003-08-01,180900,161800,19100,10.6
Tuolumne County,2003-08-01,25610,23950,1660,6.5
Ventura County,2003-08-01,405300,380300,25000,6.2
Yolo County,2003-08-01,90900,85900,5100,5.6
Yuba County,2003-08-01,26500,23800,2600,9.8
Alameda County,2004-08-01,741400,698800,42600,5.7
Amador County,2004-08-01,17210,16340,870,5.1
Butte County,2004-08-01,98200,91600,6600,6.7
Calaveras County,2004-08-01,20380,19170,1220,6
Colusa County,2004-08-01,9930,9100,830,8.4
Contra Costa County,2004-08-01,507400,480700,26700,5.3
Del Norte County,2004-08-01,10630,9820,820,7.7
El Dorado County,2004-08-01,88800,84600,4200,4.7
Fresno County,2004-08-01,414400,379400,35000,8.4
Glenn County,2004-08-01,11780,10870,910,7.7
Humboldt County,2004-08-01,60300,56700,3600,6
Imperial County,2004-08-01,59400,47700,11700,19.7
Inyo County,2004-08-01,9510,9060,460,4.8
Kern County,2004-08-01,318100,290900,27100,8.5
Kings County,2004-08-01,53700,48900,4900,9.1
Lake County,2004-08-01,27240,25190,2050,7.5
Lassen County,2004-08-01,12170,11410,750,6.2
Los Angeles County,2004-08-01,4749500,4441800,307700,6.5
Madera County,2004-08-01,63900,59300,4600,7.2
Marin County,2004-08-01,129100,123500,5600,4.3
Mariposa County,2004-08-01,9360,8880,480,5.1
Mendocino County,2004-08-01,45490,42980,2510,5.5
Merced County,2004-08-01,99600,90900,8600,8.6
Modoc County,2004-08-01,4100,3820,280,6.8
Mono County,2004-08-01,7830,7430,400,5.1
Monterey County,2004-08-01,213000,200700,12300,5.8
Napa County,2004-08-01,72500,69400,3100,4.3
Nevada County,2004-08-01,49890,47510,2380,4.8
Orange County,2004-08-01,1573300,1507600,65700,4.2
Placer County,2004-08-01,159000,151700,7200,4.5
Plumas County,2004-08-01,11070,10330,740,6.7
Riverside County,2004-08-01,817800,766000,51800,6.3
Sacramento County,2004-08-01,661700,625400,36200,5.5
San Benito County,2004-08-01,24500,22800,1700,6.9
San Bernardino County,2004-08-01,825700,778700,47000,5.7
San Diego County,2004-08-01,1485300,1416400,69000,4.6
San Francisco County,2004-08-01,418500,394400,24000,5.7
San Joaquin County,2004-08-01,282500,260400,22100,7.8
San Luis Obispo County,2004-08-01,128800,123000,5900,4.6
San Mateo County,2004-08-01,360800,344000,16800,4.7
Santa Barbara County,2004-08-01,213400,204300,9200,4.3
Santa Clara County,2004-08-01,821700,771600,50100,6.1
Santa Cruz County,2004-08-01,144400,136400,8000,5.5
Shasta County,2004-08-01,83000,77500,5600,6.7
Sierra County,2004-08-01,1660,1550,110,6.6
Siskiyou County,2004-08-01,19400,17910,1490,7.7
Solano County,2004-08-01,207600,196000,11600,5.6
Sonoma County,2004-08-01,257300,245200,12100,4.7
Stanislaus County,2004-08-01,231900,214600,17300,7.5
Sutter County,2004-08-01,40800,37500,3200,7.8
Tehama County,2004-08-01,25740,24030,1710,6.6
Trinity County,2004-08-01,5460,4990,470,8.6
Tulare County,2004-08-01,178100,160200,17900,10.1
Tuolumne County,2004-08-01,25730,24160,1570,6.1
Ventura County,2004-08-01,409200,386600,22500,5.5
Yolo County,2004-08-01,91300,86800,4500,4.9
Yuba County,2004-08-01,26100,23900,2200,8.4
Alameda County,2005-08-01,736700,698900,37800,5.1
Alpine County,2005-08-01,460,420,40,8.7
Amador County,2005-08-01,17480,16580,900,5.1
Butte County,2005-08-01,99700,93500,6200,6.2
Calaveras County,2005-08-01,20750,19550,1200,5.8
Colusa County,2005-08-01,10160,9360,800,7.9
Contra Costa County,2005-08-01,511000,486700,24400,4.8
Del Norte County,2005-08-01,10920,10150,780,7.1
El Dorado County,2005-08-01,91500,87500,4000,4.4
Fresno County,2005-08-01,416500,385500,31000,7.4
Glenn County,2005-08-01,11610,10710,900,7.8
Humboldt County,2005-08-01,59400,56000,3400,5.7
Imperial County,2005-08-01,61200,50100,11100,18.1
Inyo County,2005-08-01,9460,9040,420,4.4
Kern County,2005-08-01,336100,311900,24200,7.2
Kings County,2005-08-01,55400,51300,4200,7.6
Lake County,2005-08-01,26820,24960,1860,6.9
Lassen County,2005-08-01,12310,11500,810,6.6
Los Angeles County,2005-08-01,4775600,4537200,238400,5
Madera County,2005-08-01,64400,60200,4200,6.5
Marin County,2005-08-01,129400,124400,5000,3.9
Mendocino County,2005-08-01,45030,42780,2250,5
Merced County,2005-08-01,101500,93200,8200,8.1
Modoc County,2005-08-01,4240,3990,260,6.1
Mono County,2005-08-01,7990,7590,400,5
Monterey County,2005-08-01,214200,203300,11000,5.1
Napa County,2005-08-01,72400,69500,3000,4.1
Nevada County,2005-08-01,49920,47720,2210,4.4
Orange County,2005-08-01,1594400,1534500,59900,3.8
Placer County,2005-08-01,165600,158700,6900,4.2
Plumas County,2005-08-01,10690,10090,600,5.6
Riverside County,2005-08-01,853100,804600,48500,5.7
Sacramento County,2005-08-01,669900,637500,32500,4.9
San Benito County,2005-08-01,24100,22700,1400,5.8
San Bernardino County,2005-08-01,849200,804900,44300,5.2
San Diego County,2005-08-01,1497900,1433700,64200,4.3
San Francisco County,2005-08-01,414500,393700,20800,5
San Joaquin County,2005-08-01,285800,265500,20300,7.1
San Luis Obispo County,2005-08-01,131600,126100,5500,4.2
San Mateo County,2005-08-01,361200,345900,15300,4.2
Santa Barbara County,2005-08-01,214900,206400,8400,3.9
Santa Clara County,2005-08-01,821900,779200,42700,5.2
Santa Cruz County,2005-08-01,143600,136500,7100,4.9
Shasta County,2005-08-01,82300,76900,5400,6.6
Sierra County,2005-08-01,1700,1600,100,5.9
Siskiyou County,2005-08-01,18970,17560,1410,7.4
Solano County,2005-08-01,210800,199900,10900,5.2
Sonoma County,2005-08-01,256000,244900,11100,4.3
Stanislaus County,2005-08-01,235100,218700,16400,7
Sutter County,2005-08-01,41300,38400,2900,7
Tehama County,2005-08-01,25410,23830,1590,6.3
Trinity County,2005-08-01,5530,5110,430,7.8
Tulare County,2005-08-01,185800,170800,14900,8
Tuolumne County,2005-08-01,26540,25040,1500,5.7
Ventura County,2005-08-01,414100,393800,20300,4.9
Yolo County,2005-08-01,92400,88100,4300,4.7
Yuba County,2005-08-01,27100,24900,2200,8.1
Alameda County,2006-08-01,737500,703200,34300,4.7
Alpine County,2006-08-01,460,430,40,8.7
Amador County,2006-08-01,17410,16550,860,4.9
Butte County,2006-08-01,101300,95300,6000,5.9
Calaveras County,2006-08-01,21080,19920,1160,5.5
Colusa County,2006-08-01,10460,9670,790,7.6
Contra Costa County,2006-08-01,511900,489900,21900,4.3
Del Norte County,2006-08-01,10810,10070,750,6.9
El Dorado County,2006-08-01,91900,87900,4000,4.4
Fresno County,2006-08-01,420700,391800,29000,6.9
Glenn County,2006-08-01,11780,10890,890,7.6
Humboldt County,2006-08-01,59100,55900,3200,5.4
Imperial County,2006-08-01,64200,52300,11900,18.5
Inyo County,2006-08-01,9010,8620,390,4.3
Kern County,2006-08-01,343900,321000,22900,6.7
Kings County,2006-08-01,56600,52700,4000,7.1
Lake County,2006-08-01,25120,23390,1730,6.9
Lassen County,2006-08-01,12430,11640,790,6.4
Los Angeles County,2006-08-01,4800900,4561000,239800,5
Madera County,2006-08-01,64700,60900,3900,6
Marin County,2006-08-01,131000,126200,4800,3.7
Mariposa County,2006-08-01,9820,9390,430,4.4
Mendocino County,2006-08-01,44660,42550,2110,4.7
Merced County,2006-08-01,100100,92000,8100,8.1
Modoc County,2006-08-01,4080,3830,250,6.1
Mono County,2006-08-01,7980,7620,360,4.5
Monterey County,2006-08-01,211900,201400,10500,5
Napa County,2006-08-01,72600,69900,2700,3.7
Nevada County,2006-08-01,50630,48540,2090,4.1
Orange County,2006-08-01,1600200,1543100,57200,3.6
Placer County,2006-08-01,169800,162900,7000,4.1
Plumas County,2006-08-01,10920,10350,570,5.2
Riverside County,2006-08-01,881000,832200,48900,5.6
Sacramento County,2006-08-01,673300,641100,32300,4.8
San Benito County,2006-08-01,23800,22600,1200,5
San Bernardino County,2006-08-01,857300,814000,43200,5
San Diego County,2006-08-01,1502300,1440300,62000,4.1
San Francisco County,2006-08-01,417300,399100,18200,4.4
San Joaquin County,2006-08-01,286400,266500,19900,6.9
San Luis Obispo County,2006-08-01,131600,126300,5300,4
San Mateo County,2006-08-01,365100,351400,13800,3.8
Santa Barbara County,2006-08-01,211400,203200,8200,3.9
Santa Clara County,2006-08-01,828600,790800,37800,4.6
Santa Cruz County,2006-08-01,144900,138300,6700,4.6
Shasta County,2006-08-01,83300,78300,4900,5.9
Sierra County,2006-08-01,1670,1580,90,5.4
Siskiyou County,2006-08-01,19090,17860,1230,6.4
Solano County,2006-08-01,209800,199600,10100,4.8
Sonoma County,2006-08-01,256100,245800,10300,4
Stanislaus County,2006-08-01,229800,213500,16300,7.1
Sutter County,2006-08-01,41300,38500,2800,6.8
Tehama County,2006-08-01,25190,23630,1550,6.2
Trinity County,2006-08-01,5310,4920,390,7.3
Tulare County,2006-08-01,191200,176800,14400,7.5
Tuolumne County,2006-08-01,25940,24580,1360,5.2
Ventura County,2006-08-01,417900,398500,19400,4.6
Yolo County,2006-08-01,93400,89300,4100,4.4
Yuba County,2006-08-01,27600,25400,2300,8.3
Alameda County,2007-08-01,746200,709400,36700,4.9
Alpine County,2007-08-01,470,420,50,10.6
Amador County,2007-08-01,17940,16930,1010,5.6
Butte County,2007-08-01,101200,94700,6400,6.3
Calaveras County,2007-08-01,20940,19660,1280,6.1
Colusa County,2007-08-01,10880,10100,780,7.2
Contra Costa County,2007-08-01,514800,489700,25000,4.9
Del Norte County,2007-08-01,11000,10180,820,7.5
El Dorado County,2007-08-01,90500,86000,4500,5
Fresno County,2007-08-01,428400,397100,31300,7.3
Glenn County,2007-08-01,12030,11080,950,7.9
Humboldt County,2007-08-01,59200,55800,3400,5.7
Imperial County,2007-08-01,65700,51500,14200,21.6
Inyo County,2007-08-01,8860,8430,430,4.9
Kern County,2007-08-01,348400,322700,25800,7.4
Kings County,2007-08-01,57600,53400,4200,7.3
Lake County,2007-08-01,24680,22820,1870,7.6
Lassen County,2007-08-01,12630,11770,860,6.8
Los Angeles County,2007-08-01,4866800,4608500,258300,5.3
Madera County,2007-08-01,64000,59800,4200,6.6
Marin County,2007-08-01,132400,127300,5100,3.9
Mariposa County,2007-08-01,9940,9490,460,4.6
Mendocino County,2007-08-01,44300,42160,2140,4.8
Merced County,2007-08-01,100900,92300,8600,8.5
Modoc County,2007-08-01,4020,3750,270,6.7
Mono County,2007-08-01,7950,7580,370,4.7
Monterey County,2007-08-01,211600,200700,10900,5.2
Napa County,2007-08-01,73900,71100,2900,3.9
Nevada County,2007-08-01,50790,48420,2370,4.7
Orange County,2007-08-01,1600300,1534000,66300,4.1
Placer County,2007-08-01,173100,164800,8300,4.8
Plumas County,2007-08-01,10890,10240,660,6.1
Riverside County,2007-08-01,897900,838500,59400,6.6
Sacramento County,2007-08-01,678800,641100,37700,5.6
San Benito County,2007-08-01,23700,22400,1300,5.5
San Bernardino County,2007-08-01,855800,805100,50700,5.9
San Diego County,2007-08-01,1519900,1447700,72300,4.8
San Francisco County,2007-08-01,434400,414900,19500,4.5
San Joaquin County,2007-08-01,289900,267800,22100,7.6
San Luis Obispo County,2007-08-01,132600,126600,6000,4.5
San Mateo County,2007-08-01,370700,356000,14700,4
Santa Barbara County,2007-08-01,214000,205100,9000,4.2
Santa Clara County,2007-08-01,848400,807000,41400,4.9
Santa Cruz County,2007-08-01,146200,139200,7000,4.8
Shasta County,2007-08-01,83000,77300,5700,6.9
Sierra County,2007-08-01,1650,1560,90,5.5
Siskiyou County,2007-08-01,19340,17980,1360,7
Solano County,2007-08-01,209700,198400,11300,5.4
Sonoma County,2007-08-01,255600,244100,11500,4.5
Stanislaus County,2007-08-01,230500,212300,18200,7.9
Sutter County,2007-08-01,41700,38600,3100,7.4
Tehama County,2007-08-01,24760,23040,1720,6.9
Trinity County,2007-08-01,5180,4740,440,8.5
Tulare County,2007-08-01,191600,176000,15600,8.1
Tuolumne County,2007-08-01,25950,24470,1470,5.7
Ventura County,2007-08-01,420400,398400,22100,5.3
Yolo County,2007-08-01,97000,92200,4800,4.9
Yuba County,2007-08-01,28300,25900,2400,8.5
Alameda County,2008-08-01,762100,710200,52000,6.8
Alpine County,2008-08-01,420,370,50,11.9
Amador County,2008-08-01,17840,16430,1410,7.9
Butte County,2008-08-01,103800,94900,8900,8.6
Calaveras County,2008-08-01,21040,19190,1850,8.8
Colusa County,2008-08-01,11000,10020,990,9
Contra Costa County,2008-08-01,527000,491700,35400,6.7
Del Norte County,2008-08-01,11380,10350,1030,9.1
El Dorado County,2008-08-01,90700,84300,6300,6.9
Fresno County,2008-08-01,436900,394800,42100,9.6
Glenn County,2008-08-01,12180,10860,1310,10.8
Humboldt County,2008-08-01,60300,55800,4400,7.3
Imperial County,2008-08-01,75700,55500,20100,26.6
Inyo County,2008-08-01,9270,8650,620,6.7
Kern County,2008-08-01,365000,330800,34200,9.4
Kings County,2008-08-01,59400,53700,5700,9.6
Lake County,2008-08-01,25570,23010,2560,10
Lassen County,2008-08-01,12690,11580,1110,8.7
Los Angeles County,2008-08-01,4950600,4531000,419600,8.5
Madera County,2008-08-01,66400,60600,5800,8.7
Marin County,2008-08-01,133400,126500,6900,5.2
Mariposa County,2008-08-01,10160,9510,650,6.4
Mendocino County,2008-08-01,44500,41650,2850,6.4
Merced County,2008-08-01,102800,91200,11700,11.4
Modoc County,2008-08-01,4040,3720,320,7.9
Monterey County,2008-08-01,219400,204900,14500,6.6
Napa County,2008-08-01,76400,72400,4000,5.2
Nevada County,2008-08-01,51680,48350,3340,6.5
Orange County,2008-08-01,1616000,1520600,95300,5.9
Placer County,2008-08-01,177800,165600,12100,6.8
Plumas County,2008-08-01,10430,9630,800,7.7
Riverside County,2008-08-01,911200,822800,88400,9.7
Sacramento County,2008-08-01,684100,630900,53200,7.8
San Benito County,2008-08-01,24600,22600,1900,7.7
San Bernardino County,2008-08-01,859000,782800,76200,8.9
San Diego County,2008-08-01,1558700,1457200,101500,6.5
San Francisco County,2008-08-01,461600,434700,26900,5.8
San Joaquin County,2008-08-01,295400,265400,30000,10.2
San Luis Obispo County,2008-08-01,134000,125400,8600,6.4
San Mateo County,2008-08-01,375700,355600,20100,5.4
Santa Barbara County,2008-08-01,218100,206000,12200,5.6
Santa Clara County,2008-08-01,880400,823500,56900,6.5
Santa Cruz County,2008-08-01,148000,138500,9400,6.4
Shasta County,2008-08-01,83700,75600,8100,9.7
Sierra County,2008-08-01,1630,1500,130,8
Siskiyou County,2008-08-01,19710,18020,1680,8.5
Solano County,2008-08-01,212500,197000,15500,7.3
Sonoma County,2008-08-01,260700,244600,16100,6.2
Stanislaus County,2008-08-01,238300,213600,24600,10.3
Sutter County,2008-08-01,41500,37200,4200,10.1
Tehama County,2008-08-01,25490,23080,2410,9.5
Trinity County,2008-08-01,5050,4510,540,10.7
Tulare County,2008-08-01,199700,179300,20400,10.2
Tuolumne County,2008-08-01,26050,24020,2030,7.8
Ventura County,2008-08-01,427200,397400,29700,7
Yolo County,2008-08-01,97800,91100,6700,6.9
Yuba County,2008-08-01,28600,25200,3400,11.9
Alameda County,2009-08-01,759800,676300,83500,11
Alpine County,2009-08-01,390,330,60,15.4
Amador County,2009-08-01,17960,15910,2050,11.4
Butte County,2009-08-01,104500,91800,12700,12.2
Calaveras County,2009-08-01,20640,17840,2790,13.5
Colusa County,2009-08-01,11800,10250,1540,13.1
Contra Costa County,2009-08-01,523500,468100,55500,10.6
Del Norte County,2009-08-01,11670,10290,1380,11.8
El Dorado County,2009-08-01,91300,81400,9900,10.8
Fresno County,2009-08-01,438100,378400,59700,13.6
Glenn County,2009-08-01,12510,10750,1760,14.1
Humboldt County,2009-08-01,60700,54400,6300,10.4
Imperial County,2009-08-01,77000,53700,23300,30.3
Inyo County,2009-08-01,9590,8750,830,8.7
Kern County,2009-08-01,366200,316400,49900,13.6
Kings County,2009-08-01,61500,53600,7900,12.8
Lake County,2009-08-01,26310,22660,3650,13.9
Lassen County,2009-08-01,13570,12030,1530,11.3
Los Angeles County,2009-08-01,4915700,4312700,602900,12.3
Madera County,2009-08-01,68400,60100,8300,12.1
Marin County,2009-08-01,132500,121900,10600,8
Mariposa County,2009-08-01,10370,9510,860,8.3
Mendocino County,2009-08-01,44000,39730,4270,9.7
Merced County,2009-08-01,107100,91100,16000,14.9
Modoc County,2009-08-01,4420,3990,430,9.7
Mono County,2009-08-01,8700,7920,780,9
Monterey County,2009-08-01,223900,203100,20800,9.3
Napa County,2009-08-01,76000,69600,6400,8.4
Nevada County,2009-08-01,51500,46280,5220,10.1
Orange County,2009-08-01,1584200,1436600,147600,9.3
Placer County,2009-08-01,179700,160800,19000,10.6
Plumas County,2009-08-01,10450,9130,1330,12.7
Riverside County,2009-08-01,913800,786300,127500,14
Sacramento County,2009-08-01,681900,603600,78300,11.5
San Benito County,2009-08-01,24200,21300,2900,12
San Bernardino County,2009-08-01,853100,740100,113000,13.2
San Diego County,2009-08-01,1560700,1406800,153900,9.9
San Francisco County,2009-08-01,461800,418900,42900,9.3
San Joaquin County,2009-08-01,299000,255600,43400,14.5
San Luis Obispo County,2009-08-01,132300,119700,12600,9.5
San Mateo County,2009-08-01,375800,343000,32800,8.7
Santa Barbara County,2009-08-01,221900,203700,18200,8.2
Santa Clara County,2009-08-01,877000,778300,98700,11.3
Santa Cruz County,2009-08-01,149700,134900,14800,9.9
Shasta County,2009-08-01,85600,74000,11500,13.4
Siskiyou County,2009-08-01,19740,17290,2450,12.4
Solano County,2009-08-01,216300,193300,23000,10.6
Sonoma County,2009-08-01,257900,233000,24900,9.7
Stanislaus County,2009-08-01,239700,204800,34800,14.5
Sutter County,2009-08-01,42500,36600,5900,13.9
Tehama County,2009-08-01,25510,22120,3400,13.3
Trinity County,2009-08-01,5230,4490,730,14
Tulare County,2009-08-01,203500,175000,28400,14
Tuolumne County,2009-08-01,26580,23470,3110,11.7
Ventura County,2009-08-01,428500,384000,44500,10.4
Yolo County,2009-08-01,97600,87500,10100,10.3
Yuba County,2009-08-01,29500,24600,4800,16.3
Alameda County,2010-08-01,782500,694700,87800,11.2
Alpine County,2010-08-01,490,420,70,14.3
Amador County,2010-08-01,15460,13350,2110,13.6
Butte County,2010-08-01,102700,88800,14000,13.6
Calaveras County,2010-08-01,21180,18220,2960,14
Colusa County,2010-08-01,11770,9900,1870,15.9
Contra Costa County,2010-08-01,524900,466200,58700,11.2
Del Norte County,2010-08-01,10750,9300,1450,13.5
El Dorado County,2010-08-01,90900,80000,10900,12
Fresno County,2010-08-01,443900,374900,69000,15.5
Glenn County,2010-08-01,13190,11030,2150,16.3
Humboldt County,2010-08-01,65900,59100,6800,10.3
Imperial County,2010-08-01,80900,55400,25500,31.5
Inyo County,2010-08-01,9970,9040,930,9.3
Kern County,2010-08-01,376000,320700,55300,14.7
Kings County,2010-08-01,60100,51400,8700,14.5
Lake County,2010-08-01,30150,25790,4360,14.5
Lassen County,2010-08-01,11900,10380,1530,12.9
Los Angeles County,2010-08-01,4944700,4299300,645400,13.1
Madera County,2010-08-01,62100,52500,9700,15.6
Marin County,2010-08-01,134200,123600,10600,7.9
Mariposa County,2010-08-01,9430,8420,1010,10.7
Mendocino County,2010-08-01,42080,37470,4610,11
Merced County,2010-08-01,115500,96600,18900,16.4
Modoc County,2010-08-01,3950,3420,520,13.2
Mono County,2010-08-01,8850,7970,890,10.1
Monterey County,2010-08-01,225300,202400,22900,10.2
Napa County,2010-08-01,71300,64300,7000,9.8
Nevada County,2010-08-01,49320,43640,5680,11.5
Orange County,2010-08-01,1543200,1389700,153500,9.9
Placer County,2010-08-01,173500,153400,20100,11.6
Plumas County,2010-08-01,9670,8280,1390,14.4
Riverside County,2010-08-01,977200,837300,139900,14.3
Sacramento County,2010-08-01,685500,598600,86900,12.7
San Benito County,2010-08-01,28200,24300,3900,13.8
San Bernardino County,2010-08-01,891200,768500,122700,13.8
San Diego County,2010-08-01,1532200,1365300,166900,10.9
San Francisco County,2010-08-01,489800,445900,43900,9
San Joaquin County,2010-08-01,311000,261100,49800,16
San Luis Obispo County,2010-08-01,133300,119700,13600,10.2
San Mateo County,2010-08-01,395800,362500,33300,8.4
Santa Barbara County,2010-08-01,214800,194700,20100,9.4
Santa Clara County,2010-08-01,930100,833200,96900,10.4
Santa Cruz County,2010-08-01,144200,127500,16700,11.6
Shasta County,2010-08-01,78800,66300,12500,15.9
Sierra County,2010-08-01,1690,1480,210,12.4
Siskiyou County,2010-08-01,19650,16680,2970,15.1
Solano County,2010-08-01,203500,178200,25400,12.5
Sonoma County,2010-08-01,246400,219500,26800,10.9
Stanislaus County,2010-08-01,248700,209400,39300,15.8
Sutter County,2010-08-01,47600,40000,7600,16
Tehama County,2010-08-01,25460,21600,3850,15.1
Trinity County,2010-08-01,5650,4850,800,14.2
Tulare County,2010-08-01,204400,171400,33000,16.1
Tuolumne County,2010-08-01,22980,19660,3320,14.4
Ventura County,2010-08-01,427900,379700,48200,11.3
Yolo County,2010-08-01,102700,90900,11800,11.5
Yuba County,2010-08-01,29200,24300,4900,16.8
Alameda County,2011-08-01,792100,710500,81600,10.3
Alpine County,2011-08-01,540,470,70,13
Amador County,2011-08-01,15050,13040,2010,13.4
Butte County,2011-08-01,100600,86900,13700,13.6
Calaveras County,2011-08-01,20990,18090,2890,13.8
Colusa County,2011-08-01,12320,10380,1940,15.7
Contra Costa County,2011-08-01,532800,477000,55800,10.5
Del Norte County,2011-08-01,10930,9470,1460,13.4
El Dorado County,2011-08-01,89600,79300,10300,11.5
Fresno County,2011-08-01,447400,377100,70300,15.7
Glenn County,2011-08-01,13070,11010,2060,15.8
Humboldt County,2011-08-01,65200,58400,6800,10.4
Imperial County,2011-08-01,81100,55300,25800,31.8
Inyo County,2011-08-01,9810,8880,930,9.5
Kern County,2011-08-01,391200,336800,54400,13.9
Kings County,2011-08-01,59800,51100,8700,14.5
Lake County,2011-08-01,30150,26010,4140,13.7
Lassen County,2011-08-01,11570,10090,1480,12.8
