state.fips,county.fips,report.month.19,labor.force.19,unemployment.19,unemployment.rate.19,report.month.20,labor.force.20,unemployment.20,unemployment.rate.20,unemp.rate.diff
22,071,2019-09-01,178350,8918,5,2020-09-01,181924,22725,12.5,7.5
48,245,2019-09-01,107197,6194,5.8,2020-09-01,107176,14262,13.3,7.5
51,670,2019-09-01,9773,404,4.1,2020-09-01,9871,1142,11.6,7.5
13,063,2019-09-01,138102,5292,3.8,2020-09-01,138963,15558,11.2,7.4
38,105,2019-09-01,24873,374,1.5,2020-09-01,23490,2075,8.8,7.3
39,035,2019-09-01,616686,23853,3.9,2020-09-01,553838,61770,11.2,7.3
48,025,2019-09-01,9887,435,4.4,2020-09-01,10110,1185,11.7,7.3
51,690,2019-09-01,5483,211,3.8,2020-09-01,5686,630,11.1,7.3
48,475,2019-09-01,7414,166,2.2,2020-09-01,8035,754,9.4,7.2
49,047,2019-09-01,13653,475,3.5,2020-09-01,13748,1465,10.7,7.2
01,087,2019-09-01,7882,285,3.6,2020-09-01,8485,907,10.7,7.1
48,291,2019-09-01,33174,1609,4.9,2020-09-01,34066,4100,12,7.1
55,041,2019-09-01,3974,152,3.8,2020-09-01,4210,460,10.9,7.1
01,063,2019-09-01,2886,142,4.9,2020-09-01,3221,382,11.9,7
01,101,2019-09-01,104877,2831,2.7,2020-09-01,106503,10321,9.7,7
25,023,2019-09-01,285174,7893,2.8,2020-09-01,282052,27610,9.8,7
27,087,2019-09-01,2285,78,3.4,2020-09-01,2433,254,10.4,7
48,241,2019-09-01,12841,747,5.8,2020-09-01,12902,1655,12.8,7
48,435,2019-09-01,1319,52,3.9,2020-09-01,1322,144,10.9,7
01,065,2019-09-01,6312,215,3.4,2020-09-01,6376,656,10.3,6.9
01,105,2019-09-01,3500,165,4.7,2020-09-01,3796,442,11.6,6.9
48,003,2019-09-01,9906,229,2.3,2020-09-01,10063,923,9.2,6.9
48,361,2019-09-01,36458,1851,5.1,2020-09-01,36176,4329,12,6.9
