state.fips,county.fips,county,state.abbr,report.month.19,civilian.labor.force.19,unemployed.19,rate.unemployed.19,report.month.20,civilian.labor.force.20,unemployed.20,rate.unemployed.20,unemp.rate.diff
21,099,Hart County,KY,2019-03-01,8049,378,4.7,2020-03-01,8015,597,7.4,2.7
22,009,Avoyelles Parish,LA,2019-03-01,14989,706,4.7,2020-03-01,15474,1143,7.4,2.7
22,013,Bienville Parish,LA,2019-03-01,5474,292,5.3,2020-03-01,5680,453,8,2.7
22,041,Franklin Parish,LA,2019-03-01,7230,463,6.4,2020-03-01,7592,692,9.1,2.7
22,043,Grant Parish,LA,2019-03-01,8046,376,4.7,2020-03-01,8328,619,7.4,2.7
22,045,Iberia Parish,LA,2019-03-01,27816,1280,4.6,2020-03-01,28619,2075,7.3,2.7
22,119,Webster Parish,LA,2019-03-01,14393,746,5.2,2020-03-01,14843,1180,7.9,2.7
39,103,Medina County,OH,2019-03-01,97273,3495,3.6,2020-03-01,93947,5928,6.3,2.7
39,115,Morgan County,OH,2019-03-01,6829,509,7.5,2020-03-01,6815,692,10.2,2.7
42,057,Fulton County,PA,2019-03-01,7769,366,4.7,2020-03-01,7995,590,7.4,2.7
48,249,Jim Wells County,TX,2019-03-01,17006,792,4.7,2020-03-01,16796,1235,7.4,2.7
48,263,Kent County,TX,2019-03-01,458,10,2.2,2020-03-01,487,24,4.9,2.7
49,047,Uintah County,UT,2019-03-01,13609,643,4.7,2020-03-01,13563,1000,7.4,2.7
54,045,Logan County,WV,2019-03-01,11002,658,6,2020-03-01,11763,1025,8.7,2.7
54,067,Nicholas County,WV,2019-03-01,9379,635,6.8,2020-03-01,9855,933,9.5,2.7
06,003,Alpine County,CA,2019-03-01,670,30,4.5,2020-03-01,532,38,7.1,2.6
06,047,Merced County,CA,2019-03-01,117654,12086,10.3,2020-03-01,117622,15121,12.9,2.6
08,025,Crowley County,CO,2019-03-01,1491,71,4.8,2020-03-01,1454,107,7.4,2.6
08,029,Delta County,CO,2019-03-01,13889,624,4.5,2020-03-01,13558,965,7.1,2.6
08,081,Moffat County,CO,2019-03-01,7551,346,4.6,2020-03-01,7167,519,7.2,2.6
21,013,Bell County,KY,2019-03-01,8611,533,6.2,2020-03-01,8523,754,8.8,2.6
21,177,Muhlenberg County,KY,2019-03-01,10941,680,6.2,2020-03-01,10482,918,8.8,2.6
22,003,Allen Parish,LA,2019-03-01,8665,414,4.8,2020-03-01,9069,673,7.4,2.6
22,011,Beauregard Parish,LA,2019-03-01,14354,652,4.5,2020-03-01,14959,1067,7.1,2.6
32,003,Clark County,NV,2019-03-01,1122507,46519,4.1,2020-03-01,1150593,77257,6.7,2.6
51,027,Buchanan County,VA,2019-03-01,6867,377,5.5,2020-03-01,6772,550,8.1,2.6
53,061,Snohomish County,WA,2019-03-01,439194,14145,3.2,2020-03-01,437726,25576,5.8,2.6
54,041,Lewis County,WV,2019-03-01,6734,400,5.9,2020-03-01,6702,571,8.5,2.6
05,017,Chicot County,AR,2019-03-01,3231,242,7.5,2020-03-01,3310,330,10,2.5
05,077,Lee County,AR,2019-03-01,2788,131,4.7,2020-03-01,2889,209,7.2,2.5
06,031,Kings County,CA,2019-03-01,58193,5730,9.8,2020-03-01,58945,7226,12.3,2.5
13,091,Dodge County,GA,2019-03-01,7049,290,4.1,2020-03-01,7040,463,6.6,2.5
22,029,Concordia Parish,LA,2019-03-01,6766,392,5.8,2020-03-01,7322,611,8.3,2.5
22,031,De Soto Parish,LA,2019-03-01,10789,558,5.2,2020-03-01,11103,853,7.7,2.5
22,065,Madison Parish,LA,2019-03-01,3472,246,7.1,2020-03-01,3585,345,9.6,2.5
22,097,St. Landry Parish,LA,2019-03-01,31521,1712,5.4,2020-03-01,32739,2583,7.9,2.5
29,105,Laclede County,MO,2019-03-01,16986,755,4.4,2020-03-01,17380,1198,6.9,2.5
32,023,Nye County,NV,2019-03-01,17200,913,5.3,2020-03-01,18191,1416,7.8,2.5
42,021,Cambria County,PA,2019-03-01,57872,3014,5.2,2020-03-01,58415,4523,7.7,2.5
42,117,Tioga County,PA,2019-03-01,18782,1123,6,2020-03-01,19321,1634,8.5,2.5
42,123,Warren County,PA,2019-03-01,18901,907,4.8,2020-03-01,18992,1386,7.3,2.5
48,047,Brooks County,TX,2019-03-01,2637,143,5.4,2020-03-01,2714,215,7.9,2.5
48,245,Jefferson County,TX,2019-03-01,107191,5895,5.5,2020-03-01,107134,8535,8,2.5
48,291,Liberty County,TX,2019-03-01,32958,1596,4.8,2020-03-01,33649,2444,7.3,2.5
51,155,Pulaski County,VA,2019-03-01,16464,565,3.4,2020-03-01,16571,977,5.9,2.5
05,093,Mississippi County,AR,2019-03-01,17223,812,4.7,2020-03-01,17592,1254,7.1,2.4
06,029,Kern County,CA,2019-03-01,383237,36681,9.6,2020-03-01,392406,46906,12,2.4
08,027,Custer County,CO,2019-03-01,1994,67,3.4,2020-03-01,1931,112,5.8,2.4
08,077,Mesa County,CO,2019-03-01,76563,2985,3.9,2020-03-01,75720,4765,6.3,2.4
21,011,Bath County,KY,2019-03-01,4583,321,7,2020-03-01,4633,434,9.4,2.4
21,127,Lawrence County,KY,2019-03-01,5159,387,7.5,2020-03-01,5282,521,9.9,2.4
22,111,Union Parish,LA,2019-03-01,9124,484,5.3,2020-03-01,9391,727,7.7,2.4
29,149,Oregon County,MO,2019-03-01,4017,156,3.9,2020-03-01,4130,262,6.3,2.4
32,019,Lyon County,NV,2019-03-01,23536,1246,5.3,2020-03-01,23800,1837,7.7,2.4
39,079,Jackson County,OH,2019-03-01,12828,858,6.7,2020-03-01,12796,1161,9.1,2.4
42,033,Clearfield County,PA,2019-03-01,35866,1991,5.6,2020-03-01,36639,2918,8,2.4
42,035,Clinton County,PA,2019-03-01,18416,1044,5.7,2020-03-01,18584,1506,8.1,2.4
42,085,Mercer County,PA,2019-03-01,48910,2286,4.7,2020-03-01,48484,3420,7.1,2.4
42,111,Somerset County,PA,2019-03-01,33570,1933,5.8,2020-03-01,34070,2807,8.2,2.4
48,083,Coleman County,TX,2019-03-01,2895,115,4,2020-03-01,2878,185,6.4,2.4
48,385,Real County,TX,2019-03-01,1044,44,4.2,2020-03-01,1032,68,6.6,2.4
48,457,Tyler County,TX,2019-03-01,7192,391,5.4,2020-03-01,7223,563,7.8,2.4
49,037,San Juan County,UT,2019-03-01,5683,365,6.4,2020-03-01,5758,505,8.8,2.4
53,033,King County,WA,2019-03-01,1289512,38165,3,2020-03-01,1282733,68964,5.4,2.4
04,027,Yuma County,AZ,2019-03-01,99841,12438,12.5,2020-03-01,101957,15043,14.8,2.3
06,011,Colusa County,CA,2019-03-01,11009,2208,20.1,2020-03-01,11500,2574,22.4,2.3
08,071,Las Animas County,CO,2019-03-01,6580,297,4.5,2020-03-01,6345,434,6.8,2.3
08,101,Pueblo County,CO,2019-03-01,75855,3489,4.6,2020-03-01,76329,5249,6.9,2.3
13,265,Taliaferro County,GA,2019-03-01,567,25,4.4,2020-03-01,570,38,6.7,2.3
22,019,Calcasieu Parish,LA,2019-03-01,107098,3615,3.4,2020-03-01,105191,5964,5.7,2.3
22,047,Iberville Parish,LA,2019-03-01,14095,718,5.1,2020-03-01,14586,1079,7.4,2.3
22,093,St. James Parish,LA,2019-03-01,9097,460,5.1,2020-03-01,9470,700,7.4,2.3
29,123,Madison County,MO,2019-03-01,5515,202,3.7,2020-03-01,5632,336,6,2.3
29,159,Pettis County,MO,2019-03-01,21001,806,3.8,2020-03-01,21743,1326,6.1,2.3
29,213,Taney County,MO,2019-03-01,26270,1709,6.5,2020-03-01,26909,2378,8.8,2.3
31,069,Garden County,NE,2019-03-01,1109,36,3.2,2020-03-01,1128,62,5.5,2.3
39,031,Coshocton County,OH,2019-03-01,14524,842,5.8,2020-03-01,14177,1148,8.1,2.3
42,007,Beaver County,PA,2019-03-01,83437,3688,4.4,2020-03-01,84786,5722,6.7,2.3
42,009,Bedford County,PA,2019-03-01,23155,1181,5.1,2020-03-01,23517,1740,7.4,2.3
42,039,Crawford County,PA,2019-03-01,38136,1797,4.7,2020-03-01,38492,2689,7,2.3
42,063,Indiana County,PA,2019-03-01,39065,1909,4.9,2020-03-01,39593,2854,7.2,2.3
42,065,Jefferson County,PA,2019-03-01,20289,976,4.8,2020-03-01,20617,1456,7.1,2.3
42,103,Pike County,PA,2019-03-01,25085,1454,5.8,2020-03-01,25232,2056,8.1,2.3
42,109,Snyder County,PA,2019-03-01,20158,890,4.4,2020-03-01,20441,1374,6.7,2.3
42,127,Wayne County,PA,2019-03-01,21877,1252,5.7,2020-03-01,22061,1768,8,2.3
48,131,Duval County,TX,2019-03-01,5013,228,4.5,2020-03-01,4924,333,6.8,2.3
48,237,Jack County,TX,2019-03-01,3462,108,3.1,2020-03-01,3365,182,5.4,2.3
48,443,Terrell County,TX,2019-03-01,379,13,3.4,2020-03-01,371,21,5.7,2.3
49,031,Piute County,UT,2019-03-01,486,25,5.1,2020-03-01,485,36,7.4,2.3
51,051,Dickenson County,VA,2019-03-01,4691,234,5,2020-03-01,4903,358,7.3,2.3
54,005,Boone County,WV,2019-03-01,7295,392,5.4,2020-03-01,7650,591,7.7,2.3
04,001,Apache County,AZ,2019-03-01,20724,2070,10,2020-03-01,20924,2559,12.2,2.2
08,007,Archuleta County,CO,2019-03-01,6686,266,4,2020-03-01,6450,397,6.2,2.2
08,033,Dolores County,CO,2019-03-01,1078,47,4.4,2020-03-01,1055,70,6.6,2.2
13,175,Laurens County,GA,2019-03-01,19419,824,4.2,2020-03-01,19174,1218,6.4,2.2
13,317,Wilkes County,GA,2019-03-01,3852,167,4.3,2020-03-01,3875,250,6.5,2.2
21,051,Clay County,KY,2019-03-01,5255,380,7.2,2020-03-01,5216,489,9.4,2.2
21,089,Greenup County,KY,2019-03-01,13553,945,7,2020-03-01,13523,1246,9.2,2.2
21,165,Menifee County,KY,2019-03-01,2343,195,8.3,2020-03-01,2344,247,10.5,2.2
22,039,Evangeline Parish,LA,2019-03-01,11874,596,5,2020-03-01,12032,867,7.2,2.2
22,073,Ouachita Parish,LA,2019-03-01,70085,3231,4.6,2020-03-01,71757,4870,6.8,2.2
22,095,St. John the Baptist Parish,LA,2019-03-01,19378,924,4.8,2020-03-01,20123,1405,7,2.2
29,093,Iron County,MO,2019-03-01,3581,185,5.2,2020-03-01,3630,267,7.4,2.2
32,510,Carson City,NV,2019-03-01,26020,1178,4.5,2020-03-01,26689,1785,6.7,2.2
35,003,Catron County,NM,2019-03-01,1059,71,6.7,2020-03-01,1107,98,8.9,2.2
39,013,Belmont County,OH,2019-03-01,29949,1801,6,2020-03-01,29766,2452,8.2,2.2
39,121,Noble County,OH,2019-03-01,4736,371,7.8,2020-03-01,4673,466,10,2.2
42,049,Erie County,PA,2019-03-01,128543,6005,4.7,2020-03-01,128611,8850,6.9,2.2
42,081,Lycoming County,PA,2019-03-01,56557,2929,5.2,2020-03-01,57251,4226,7.4,2.2
42,097,Northumberland County,PA,2019-03-01,42573,2514,5.9,2020-03-01,43059,3477,8.1,2.2
42,125,Washington County,PA,2019-03-01,106397,4764,4.5,2020-03-01,108011,7259,6.7,2.2
48,489,Willacy County,TX,2019-03-01,6624,539,8.1,2020-03-01,6939,714,10.3,2.2
49,013,Duchesne County,UT,2019-03-01,7692,348,4.5,2020-03-01,7774,520,6.7,2.2
49,019,Grand County,UT,2019-03-01,5944,262,4.4,2020-03-01,6298,413,6.6,2.2
54,021,Gilmer County,WV,2019-03-01,2357,175,7.4,2020-03-01,2511,240,9.6,2.2
05,139,Union County,AR,2019-03-01,15915,807,5.1,2020-03-01,16146,1155,7.2,2.1
08,003,Alamosa County,CO,2019-03-01,8521,371,4.4,2020-03-01,8286,541,6.5,2.1
08,045,Garfield County,CO,2019-03-01,33872,1101,3.3,2020-03-01,32511,1754,5.4,2.1
08,073,Lincoln County,CO,2019-03-01,2341,67,2.9,2020-03-01,2147,107,5,2.1
08,103,Rio Blanco County,CO,2019-03-01,2941,131,4.5,2020-03-01,2900,192,6.6,2.1
12,051,Hendry County,FL,2019-03-01,16031,739,4.6,2020-03-01,16393,1095,6.7,2.1
